"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DHF","Dreyfus High Yield Strategies Fund","3.095","225030294.36","n/a","1998","n/a","n/a","https://www.nasdaq.com/symbol/dhf",
"DMB","Dreyfus Municipal Bond Infrastructure Fund, Inc.","12.69","233267338.89","n/a","2013","n/a","n/a","https://www.nasdaq.com/symbol/dmb",
"DSM","Dreyfus Strategic Municipal Bond Fund, Inc.","7.6","375207888.4","n/a","1989","n/a","n/a","https://www.nasdaq.com/symbol/dsm",
"LEO","Dreyfus Strategic Municipals, Inc.","7.7","478905950.6","n/a","1987","n/a","n/a","https://www.nasdaq.com/symbol/leo",
"DRQ","Dril-Quip, Inc.","57.55","2195130743.45","n/a","1997","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/drq",
"DS","Drive Shack Inc.","7.3","488932859.2","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ds",
"DS^B","Drive Shack Inc.","25.53","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ds^b",
"DS^C","Drive Shack Inc.","25.12","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ds^c",
"DS^D","Drive Shack Inc.","25.315","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ds^d",
"DSW","DSW Inc.","26.7","2141431447.5","n/a","2005","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/dsw",
"DTE","DTE Energy Company","106.3","19291660226.9","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dte",
"DTJ","DTE Energy Company","24.94","0","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dtj",
"DTQ","DTE Energy Company","24.95","0","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dtq",
"DTV","DTE Energy Company","51.99","0","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dtv",
"DTW","DTE Energy Company","24.63","0","n/a","2017","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dtw",
"DTY","DTE Energy Company","26.2","0","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dty",
"DCO","Ducommun Incorporated","34.85","396646425.05","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/dco",
"DPG","Duff & Phelps Global Utility Income Fund Inc.","14.75","559464638.5","n/a","2011","n/a","n/a","https://www.nasdaq.com/symbol/dpg",
"DSE","Duff & Phelps Select Energy MLP Fund Inc.","5.57","145854415.84","n/a","2014","n/a","n/a","https://www.nasdaq.com/symbol/dse",
"DNP","Duff & Phelps Utilities Income, Inc.","10.89","3159796738.23","n/a","1987","n/a","n/a","https://www.nasdaq.com/symbol/dnp",
"DTF","Duff & Phelps Utilities Tax-Free Income, Inc.","13.32","113495524.2","n/a","1991","n/a","n/a","https://www.nasdaq.com/symbol/dtf",
